Name,Long,Lat,Date
CE1,-122.9844099,49.89956171,Sentinel1720
CE10,-122.964924,49.92065371,Sphinx2003
CE2,-122.980867,49.90380529,Sentinel1720
CE3,-122.981446,49.92038533,Sphinx1928
CE4,-122.9779974,49.91343756,Sphinx1700
CE5,-122.979681,49.91766528,Sphinx1928
CE6,-122.9863675,49.89251228,Sentinel1969
CE7,-122.9776401,49.89448948,Sentinel1977
CE8,-122.9924511,49.89966469,Sentinel1949
CE9,-122.9953469,49.90216225,Sentinel1928
CN01,-122.9957,49.90105,Sentinel1928
WP1,-123.0008913,49.90435012,Sentinel1928
WP10,-122.984308,49.89700079,Sentinel1949
WP11,-122.9754522,49.92503415,Sphinx1949
WP12,-122.9674432,49.9225318,Sphinx1977
WP13,-122.9845345,49.92903812,Sphinx1928
WP15,-122.9813166,49.91967108,Sphinx1928
WP16,-122.9733234,49.92016783,Sphinx1928
WP17,-122.9705233,49.92020313,Sphinx1977
WP18,-122.9849264,49.92312001,Sphinx1928
WP19,-123.0010304,49.90076143,Sentinel1928
WP2,-122.9977023,49.90381944,Sentinel1928
WP20,-122.9988581,49.90368454,Sentinel1928
WP21,-122.9889027,49.897496,Sentinel1949
WP22,-122.9984544,49.90033869,Sentinel1928
WP23,-122.9739759,49.92433228,Sphinx1949
WP24,-122.9795751,49.92733746,Sphinx1928
WP25,-122.9890486,49.92965923,Sphinx1928
WP26,-122.9848832,49.92768005,Sphinx1928
WP27,-122.9915981,49.93088265,Sphinx1700
WP28,-122.9844516,49.92682555,Sphinx1928
WP29,-122.9890628,49.92850798,Sphinx1928
WP3,-122.9993037,49.90605901,Sentinel1720
WP30,-122.9819278,49.89510266,Sentinel1977
WP31,-122.9896825,49.8972982,Sentinel1949
WP32,-122.9678183,49.92411488,Sphinx1949
WP33,-123.0021307,49.9059061,Sentinel1720
WP34,-122.9994569,49.90733619,Sentinel1720
WP35,-123.0018242,49.90250629,Sentinel1928
WP36,-122.9851485,49.92597119,Sphinx1928
WP37,-122.9904283,49.92784253,Sphinx1928
WP37,-122.9904144,49.92802242,Sphinx1928
WP38,-122.9922253,49.92960552,Sphinx1700
WP39,-122.9960452,49.90320779,Sentinel1928
WP4,-122.9929637,49.93056795,Sphinx1700
WP40,-123.0049575,49.90395427,Sentinel1720
WP41,-122.9922864,49.89635401,Sentinel1949
WP42,-122.9920168,49.92704217,Sphinx1700
WP43,-122.9840347,49.92345267,Sphinx1928
WP44,-122.9944583,49.89774824,Sentinel1949
WP45,-122.9883604,49.89464478,Sentinel1969
WP46,-122.9870933,49.89501341,Sentinel1977
WP47,-122.9720259,49.92347738,Sphinx1949
WP48,-122.9865917,49.89629053,Sentinel1969
WP49,-122.9996936,49.90234441,Sentinel1928
WP5,-123.0017686,49.90514159,Sentinel1720
WP50,-122.988374,49.89594894,Sentinel1969
WP51,-122.989822,49.89602103,Sentinel1969
WP52,-122.9773206,49.92173367,Sphinx1928
WP54,-122.9864989,49.9294431,Sphinx1928
WP55,-122.9926714,49.92855324,Sphinx1700
WP55,-122.9923651,49.92871493,Sphinx1700
WP56,-122.9902328,49.93021698,Sphinx1700
WP57,-122.9896892,49.93113433,Sphinx1700
WP58,-122.9911247,49.92909278,Sphinx1928
WP58,-122.9913,49.92893,Sphinx1928
WP59,-122.9885339,49.92601655,Sphinx1928
WP6,-123.0029662,49.90409824,Sentinel1720
WP60,-122.9815134,49.9228407,Sphinx1928
WP61,-122.9834082,49.92223837,Sphinx1928
WP63,-122.9822503,49.92680724,Sphinx1928
WP64,-122.9868203,49.92582749,Sphinx1928
WP65,-122.9701737,49.92241561,Sphinx1949
WP66,-123.0008913,49.90612197,Sentinel1720
WP67,-123.0029802,49.90546536,Sentinel1720
WP68,-123.00525,49.90412514,Sentinel1720
WP69,-123.0037876,49.9019576,Sentinel1720
WP7,-122.9931725,49.93197105,Sphinx1700
WP70,-123.0039827,49.90300991,Sentinel1720
WP71,-123.0008773,49.90300998,Sentinel1928
WP72,-123.0047627,49.90477275,Sentinel1720
WP73,-123.0050131,49.90237129,Sentinel1720
WP74,-123.0060994,49.9038193,Sentinel1720
WP75,-122.9898574,49.92649336,Sphinx1928
WP8,-122.9848686,49.92995557,Sphinx1700
WP9,-123.0035929,49.90479078,Sentinel1720
