Name,Long,Lat,Date,Samplers,Sheet_,Elevation,Aspect,Slope
CE07,-122.978,49.8945,Sentinel_1977,"CN, JG",1,1704,268.6686401,15.11946201
CN01,-122.996,49.901,Sentinel_1928,"CN, JG",1,1493,284.8692627,7.56761837
WP58,-122.991,49.9291,Sphinx__1928,NA,NA,1471,173.249527,2.180704832
WP55,-122.993,49.9286,Sphinx_1700,"JG, CN",3,1469,107.6550827,1.280959129
WP37,-122.99,49.9278,Sphinx_1928,"JG, CN",3,1470,344.4795532,3.457335472
WP29,-122.989,49.9285,Sphinx_1928,"JG, CN",3,1470,300.2383728,3.082494736
WP3,-122.999,49.9061,Sentinel_1720,"TM, NH",4,1472,330.7652893,1.71835804
WP34,-122.999,49.9073,Sentinel_1720,"TM, NH",4,1471,115.2997131,1.460445285
WP33,-123.002,49.9059,Sentinel_1720,"TM, NH",4,1468,135,2.429397106
WP5,-123.002,49.9051,Sentinel_1720,"TM, NH",4,1469,346.9908447,0.905850291
WP30,-122.982,49.8951,Sentinel_1977,"PS, AK",5,1610,341.9052429,12.51864147
WP67,-123.003,49.9055,Sentinel_1720,NH,6,1470,74.83429718,2.715741873
CE03.WP15,-122.981,49.9204,Sphinx_1928,NA,NA,1583,206.1516876,5.11108923
CE04,-122.978,49.9134,Sphinx_1700,"CE, CN",7,1703,95.47841644,19.68927956
WP20,-122.999,49.9037,Sentinel_1928,"CC, MF",8,1472,180.8226929,1.145762801
WP1,-123.001,49.9044,Sentinel_1928,"CC, MF",8,1473,309.8333435,0.405135572
WP4,-122.993,49.9306,Sphinx_1700,"CL, NBL",9,1469,50.95412064,3.16105175
WP69,-123.004,49.902,Sentinel_1720,"CL, NBL",9,1489,61.93985367,16.92944145
WP73,-123.005,49.9024,Sentinel_1720,"CL, NBL",9,1495,48.24586868,20.47377586
WP40,-123.005,49.904,Sentinel_1720,"CL, NBL",9,1472,192.655777,1.620137453
WP43,-122.984,49.9235,Sphinx_1928,"NH, PS, TM, MS, AK",10,1484,10.64271355,20.62787247
WP60,-122.982,49.9228,Sphinx_1928,"NH, PS, TM, MS, AK",10,1480,26.33732796,25.68943977
WP31,-122.99,49.8973,Sentinel_1949,"JG, MS",11,1535,215.4440002,10.41737175
CE05,-122.98,49.9177,Sphinx_1928,"JG, MS",12,1641,49.89204025,14.03624344
CE02,-122.981,49.9038,Sentinel_1720,"JG, MS",12,1953,320.337738,20.94124222
WP59,-122.989,49.926,Sphinx_1928,"CC, MF",13,1472,105.9082947,2.715741873
WP42,-122.992,49.927,Sphinx_1700,"CC, MF",13,1469,267.9594727,2.592406273
WP27,-122.992,49.9309,Sphinx_1700,"CL, NBL, CE",14,1474,182.0326538,3.237688065
WP7,-122.993,49.932,Sphinx_1700,"CL, NBL, CE",14,1469,348.5060425,3.837768078
WP57,-122.99,49.9311,Sphinx_1700,"CL, NBL, CE",14,1479,236.4124603,0.905850291
WP56,-122.99,49.9302,Sphinx_1700,"CL, NBL, CE",14,1473,335.9978027,1.669971704
WP39,-122.996,49.9032,Sentinel_1928,"PS, AK",15,1478,262.5483398,15.14907074
CE09,-122.995,49.9022,Sentinel_1928,"PS, AK",15,1504,117.2578812,13.36521244
CE1,-122.984,49.8996,Sentinel_1720,"PS, AK",15,1725,177.3884277,38.70559692
WP10,-122.984,49.897,Sentinel_1949,"PS, AK",15,1635,78.50693512,36.43375778
CE10,-122.965,49.9207,Sphinx_1977,"JG, MS, CN",16,1637,63.56550598,28.95017052
WP12,-122.967,49.9225,Sphinx_1977,"JG, MS, CN",16,1554,243.25914,11.61525726
WP65,-122.97,49.9224,Sphinx_1949,"JG, MS, CN",16,1550,151.1109009,3.983757257
CE01,-122.984,49.8996,Sentinel_1720,"CE, CN",17,1725,177.3884277,38.70559692
CE08,-122.992,49.8997,Sentinel_1949,"CE, CN",17,1520,225.0346985,21.58378983
